user_id,products,reviews
7360263,359,0
14020781,156,1
8762579,329,4
4820647,176,4
5167327,98,2
5664667,145,5
5889167,447,2
7281762,1083,1
7445952,273,1
7462927,51,1
7922733,108,2
9201535,166,1
9514331,237,4
9972262,250,3
10184828,187,1
10714376,1824,2
11237958,12,1
11274058,102,4
11300174,210,17
11463309,318,5
11489991,1053,3
11516665,131,2
11543905,1334,17
11575309,1903,10
11736873,169,2
12101865,352,1
12641029,33,0
12663344,107,2
13731271,587,3
13992714,206,1
450556,514,1
693738,130,1
984362,321,2
1305407,169,2
1935897,752,1
2767783,163,2
2922126,179,1
3474357,83,1
3807644,333,5
4243573,115,2
4267451,78,1
4319679,534,9
4341159,367,0
4458965,218,1
4586753,381,2
4616950,702,36
4860538,85,1
4905640,28,1
4906842,98,2
4971062,76,1
4998568,190,1
5029439,397,2
5105530,224,8
5126837,212,1
5133640,46,1
5317898,443,1
5501081,160,1
5717215,138,14
5843018,116,1
5847428,182,2
5858967,305,12
5882573,303,11
5948799,139,2
5984221,753,4
6021906,161,1
6112919,34,1
6187383,170,4
6546997,283,1
6614910,62,1
6628291,26,1
6642131,41,3
6696498,290,1
6934546,45,1
6937165,574,1
6957160,138,1
7078961,651,2
7156034,193,1
7200444,28,5
7225811,368,0
7270057,211,5
7288711,46,1
7359198,449,1
7369762,121,2
7385985,71,2
7394288,208,12
7591440,73,1
7650936,536,3
7672728,709,4
7798241,24,1
8213260,126,1
8526285,146,1
8660936,168,2
9021133,1227,22
9182621,1420,1
9279655,53,3
9920298,194,5
9949114,50,3
10057960,603,27
10122690,34,2
10213672,441,2
10378794,320,1
10643097,28,3
11036957,78,2
11066693,79,1
11075110,650,5
11182800,81,1
11198448,206,3
11212380,398,1
11214690,1826,4
11223803,335,2
11227231,404,20
11236157,404,1
11257973,80,2
11280081,75,1
11316351,677,68
11336236,64,1
11351945,146,1
11359449,77,1
11403949,348,4
11439651,11,1
11442710,219,2
11456486,137,2
11470955,1270,8
11480920,47,4
11495722,278,1
11508499,319,2
11513444,108,1
11515204,237,1
11562104,298,2
11640467,46,1
11675031,1573,5
11688540,227,1
11715024,468,6
11764232,292,3
11898775,529,1
11909047,383,1
11918764,83,1
11932365,122,3
11974126,111,4
12001845,34,1
12048007,432,1
12087881,234,2
12097569,25,2
12142712,157,1
12534294,141,3
12542517,153,1
12795557,346,4
12894540,99,2
12928853,121,2
12974158,52,1
13201249,17,1
13282730,80,1
13601978,102,6
13883671,157,1
13979247,67,0
14019966,156,2
14166929,362,1
14205175,208,1
14281999,104,2
14305173,126,3
525854,656,5
549499,19,1
742793,197,1
964285,271,1
1002337,169,1
1083117,18,1
1213812,93,1
1236186,761,1
1297637,100,1
1355800,255,6
1624375,759,1
2290288,209,2
2346385,36,1
2444543,95,3
2621424,103,1
2811975,100,1
3459290,236,1
3777876,35,1
3916465,1948,4
4034748,112,1
4146223,182,3
4284913,66,1
4346063,65,1
4363012,1001,72
4395091,398,3
4400546,421,2
4410864,18,1
4465570,135,5
4469645,36,1
4612212,66,4
4693372,41,1
4699963,247,4
4753330,147,5
4772172,114,4
4780574,449,6
4822761,1424,6
4851946,195,1
4853747,71,1
4887163,80,1
4893896,496,50
4894863,99,1
4921166,1170,4
4953349,18,1
4968864,642,1
4987317,28,1
5023579,124,1
5056504,316,1
5066627,25,1
5080214,139,1
5093594,74,4
5223948,39,1
5230674,167,2
5284961,105,3
5296733,327,3
5298924,253,1
5312438,427,1
5313738,152,1
5317561,879,4
5349170,208,1
5357556,35,1
5363713,330,0
5388798,1828,6
5407887,14,1
5412691,468,6
5413373,105,1
5450061,31,0
5586799,130,2
5678314,150,1
5687177,35,1
5699586,154,6
5700299,1268,4
5719598,651,1
5725479,267,1
5908363,742,2
5910909,308,2
5957290,300,9
5963335,15,1
5979468,52,11
5980080,1408,2
5997028,235,1
6012388,234,1
6072302,22,1
6073540,2113,1
6083672,562,9
6102885,292,1
6133025,44,2
6142378,15,2
6166678,329,1
6194169,43,1
6231587,90,1
6284171,509,1
6294614,21,1
6326181,1193,2
6349504,65,1
6366584,1597,129
6366959,18,7
6377575,519,2
6408186,1089,1
6441944,9,1
6487069,588,9
6497612,184,2
6542361,43,1
6547521,48,1
6593548,109,1
6600008,18,1
6607863,69,1
6612520,585,2
6627418,354,1
6658688,314,3
6670659,144,3
6686060,69,7
6694101,76,1
6710560,122,1
6738021,191,5
6813238,298,2
6874645,183,1
6925749,66,2
6945944,121,1
6984738,560,1
7017582,214,1
7025451,224,1
7065049,21,2
7086185,44,1
7088778,318,2
7149511,59,2
7157056,206,1
7178917,372,1
7183613,203,1
7287043,197,2
7287728,108,5
7299240,92,2
7306029,23,1
7317446,1811,3
7322207,109,2
7328733,217,1
7348902,624,2
7359152,168,1
7361784,111,3
7380282,704,5
7380665,13,1
7387861,141,2
7390489,678,1
7394650,183,1
7412198,239,1
7413201,90,1
7414989,24,1
7420979,94,1
7422061,22,1
7423292,437,10
7433190,402,2
7447116,537,10
7452405,247,3
7461776,451,2
7466503,186,5
7498229,31,1
7498746,77,1
7502677,105,0
7505764,83,1
7507258,124,1
7553262,19,3
7553771,469,1
7588815,364,1
7588927,155,2
7592797,195,1
7595583,81,2
7601467,431,0
7615885,140,0
7632866,372,1
7672060,385,1
7754045,397,15
7774815,714,4
7775326,95,2
7777393,610,5
7782482,345,13
7788269,117,1
7794655,95,1
7889746,248,2
7903374,22,1
7924901,361,1
7985324,178,5
7992464,15,1
8003633,76,1
8025517,53,2
8038738,214,3
8079806,11,1
8084405,432,9
8084577,129,2
8113906,93,1
8120855,185,1
8134822,232,1
8147511,476,7
8171664,235,1
8175756,453,1
8205883,708,3
8224064,252,1
8245836,571,1
8252079,354,6
8257940,474,3
8330882,308,2
8335626,200,9
8350027,1113,2
8354830,380,5
8378556,325,2
8388615,170,4
8393682,9,1
8406006,82,1
8409957,169,1
8410673,536,2
8448478,685,1
8485746,218,1
8514187,361,3
8517311,890,27
8531353,65,3
8534233,1045,4
8560326,328,1
8596940,441,1
8605505,559,7
8632733,133,7
8636365,56,3
8697374,178,5
8720806,39,2
8762715,427,2
8802337,16,1
8853742,152,1
8872064,159,3
8887167,388,3
8931877,200,2
8993022,14,2
8998499,183,1
9017186,102,1
9073768,24,1
9097906,11,1
9204854,141,1
9230155,67,1
9233459,57,1
9255379,1505,19
9279258,60,2
9280703,357,6
9290354,30,3
9302848,123,1
9306292,28,1
9375719,132,1
9380736,9,1
9383282,314,1
9387402,267,2
9491473,12,1
9495845,259,5
9529113,207,1
9531088,125,4
9612089,525,19
9731923,292,5
9753351,50,2
9814418,836,1
9814656,161,1
9819393,365,2
9832039,385,2
9835938,230,2
9896246,101,4
9953912,77,1
9966234,131,3
9984065,360,1
9995574,500,2
10065504,200,3
10138032,296,1
10138257,45,1
10159715,375,1
10206481,44,0
10233429,963,2
10241739,685,1
10243362,100,3
10260002,65,1
10263507,436,9
10315146,1164,1
10378585,13,1
10393781,652,23
10415085,282,4
10416160,42,1
10471726,616,5
10473022,132,3
10509117,304,1
10549393,48,1
10591298,42,2
10626461,53,1
10648699,238,1
10658521,351,1
10672920,73,0
10686476,407,1
10690126,198,5
10726764,256,1
10751880,119,1
10783130,105,1
10790439,284,1
10878822,254,2
10879311,476,3
10913325,94,10
10918408,768,1
10931026,654,2
11013020,348,1
11014399,77,2
11033515,69,1
11038364,536,4
11045885,78,1
11071062,153,1
11083027,387,1
11084007,44,1
11109311,78,4
11115607,427,2
11139135,926,5
11140739,286,79
11148812,308,24
11155063,511,2
11156654,284,1
11163928,64,1
11167403,84,1
11173791,35,2
11177984,338,6
11194103,126,1
11199134,100,1
11199770,463,1
11209658,53,1
11211007,52,2
11214399,57,1
11216865,1431,1
11216880,187,10
11218661,24,1
11220919,37,2
11222298,43,1
11226983,33,3
11235368,52,1
11243833,318,1
11250090,327,1
11250562,410,1
11252570,62,2
11252751,159,2
11270133,124,1
11275275,237,1
11275957,129,1
11280257,178,1
11285048,585,1
11299409,121,1
11302400,662,9
11304379,144,4
11309317,417,1
11312700,340,5
11313580,390,1
11321648,198,1
11321840,557,1
11328009,33,1
11331690,138,1
11334193,284,3
11340237,303,1
11342208,1097,1
11344877,37,1
11347696,143,3
11348480,1642,1
11366488,35,1
11368735,221,1
11373221,147,1
11373613,1200,2
11383968,1598,3
11385372,106,2
11386511,84,1
11386529,77,2
11389348,313,4
11392786,213,1
11395660,280,2
